"","Trump","Clinton","Other","Undecided","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation"
"1",43,46,5,6,"bloomberg-selzer-26771","Bloomberg/Selzer",2016-11-04,2016-11-06,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?","Likely Voters",799,3.5,"Live Phone","Nonpartisan","None"
"2",39,44,9,8,"ipsos-reuters-26810","Ipsos/Reuters",2016-11-02,2016-11-06,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",2195,2.4,"Internet","Nonpartisan","None"
"3",43,47,5,5,"cbs-times-26778","CBS/Times",2016-11-02,2016-11-06,NA,"Likely Voters",1426,3,"Live Phone","Nonpartisan","None"
"4",46,49,5,NA,"upi-cvoter-26785","UPI/CVOTER",2016-10-31,2016-11-06,NA,"Likely Voters",1625,NA,"Internet","Nonpartisan","None"
"5",44,51,NA,5,"nbc-surveymonkey-26770","NBC/SurveyMonkey",2016-10-31,2016-11-06,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",70194,1,"Internet","Nonpartisan","None"
"6",44,46,8,2,"mcclatchy-marist-26734","McClatchy/Marist",2016-11-01,2016-11-03,"If next  week's (November's) presidential election were held today, whom would you support if the candidates are:","Likely Voters",940,3.2,"Live Phone","Nonpartisan","None"
"7",44,47,5,5,"cbs-times-26647","CBS/Times",2016-10-28,2016-11-01,NA,"Likely Voters",1333,3,"Live Phone","Nonpartisan","None"
"8",50,50,NA,NA,"gravis-marketing-oann-26695","Gravis Marketing/OANN",2016-10-31,2016-10-31,NA,"Registered Voters",5360,1.3,"IVR/Online","Sponsor","Rep"
"9",43,46,NA,11,"politico-morning-consult-26556","Politico/Morning Consult",2016-10-29,2016-10-30,NA,"Likely Voters",1772,2,"Internet","Nonpartisan","None"
"10",47,52,NA,1,"politico-morning-consult-26662","Politico/Morning Consult",2016-10-27,2016-10-30,NA,"Likely Voters",1249,3,"Live Phone","Nonpartisan","None"
"11",48,49,3,NA,"upi-cvoter-26598","UPI/CVOTER",2016-10-24,2016-10-30,NA,"Likely Voters",1299,NA,"Internet","Nonpartisan","None"
"12",44,51,NA,5,"nbc-surveymonkey-26584","NBC/SurveyMonkey",2016-10-24,2016-10-30,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",40816,1,"Internet","Nonpartisan","None"
"13",39,49,NA,12,"suffolk-usa-today-26449","Suffolk/USA Today",2016-10-20,2016-10-24,"If the general election was held today and the candidates were Democrat Hillary Clinton or Republican Donald Trump, for whom will you vote or lean toward?","Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"14",37,43,10,10,"ipsos-reuters-26445","Ipsos/Reuters",2016-10-20,2016-10-24,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1170,3.3,"Internet","Nonpartisan","None"
"15",44,50,NA,5,"nbc-surveymonkey-26412","NBC/SurveyMonkey",2016-10-17,2016-10-23,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",32225,1,"Internet","Nonpartisan","None"
"16",46,50,4,NA,"upi-cvoter-26389","UPI/CVOTER",2016-10-17,2016-10-23,NA,"Likely Voters",1414,NA,"Internet","Nonpartisan","None"
"17",40,46,NA,16,"politico-morning-consult-26342","Politico/Morning Consult",2016-10-19,2016-10-20,NA,"Likely Voters",1395,3,"Internet","Nonpartisan","None"
"18",42,49,5,4,"arg-26353","ARG",2016-10-17,2016-10-20,NA,"Likely Voters",1006,3,"Live Phone","Nonpartisan","None"
"19",41,50,4,5,"bloomberg-selzer-26261","Bloomberg/Selzer",2016-10-14,2016-10-17,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?","Likely Voters",1006,NA,"Live Phone","Nonpartisan","None"
"20",39,43,8,10,"ipsos-reuters-26266","Ipsos/Reuters",2016-10-13,2016-10-17,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1190,3.2,"Internet","Nonpartisan","None"
"21",40,51,5,5,"cbs-26221","CBS",2016-10-12,2016-10-16,NA,"Likely Voters",1189,3,"Live Phone","Nonpartisan","None"
"22",43,51,NA,6,"nbc-surveymonkey-26229","NBC/SurveyMonkey",2016-10-10,2016-10-16,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",24804,1,"Internet","Nonpartisan","None"
"23",46,50,4,NA,"upi-cvoter-26200","UPI/CVOTER",2016-10-10,2016-10-16,NA,"Likely Voters",1325,NA,"Internet","Nonpartisan","None"
"24",41,46,NA,14,"politico-morning-consult-26194","Politico/Morning Consult",2016-10-13,2016-10-15,NA,"Likely Voters",1737,2,"Internet","Nonpartisan","None"
"25",41,46,NA,13,"politico-morning-consult-26084","Politico/Morning Consult",2016-10-10,2016-10-10,NA,"Likely Voters",1757,3,"Internet","Nonpartisan","None"
"26",37,44,9,10,"ipsos-reuters-26141","Ipsos/Reuters",2016-10-06,2016-10-10,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",2363,2.3,"Internet","Nonpartisan","None"
